name,address,phone,type,district,latitude,longitude,city_center_latitude,city_center_longitude,location_precision
Amraiwadi PS,"Near Jogni Mata Mandir, Amraiwadi, Ahmedabad - 380026",079-22770280,police,Ahmedabad,23.030596,72.593139,23.0215374,72.5800568,city
Anandnagar PS,"Shivranjani Cross Rd, Beside Umiya Vijay Complex, Ahmedabad - 380015",079-26762250,police,Ahmedabad,23.016843,72.586913,23.0215374,72.5800568,city
Bapunagar PS,"Lalbahadur Shastri Road, Near Garibnagar, Bapunagar, Ahmedabad - 380024",079-22700585,police,Ahmedabad,23.015742,72.567628,23.0215374,72.5800568,city
Bodakdev PS,"Judges Bungalow Road, Bodakdev, Ahmedabad - 380054",079-26870000,police,Ahmedabad,23.016607,72.56393,23.0215374,72.5800568,city
Chandkheda PS,"ONGC Quarters, Subhash Nagar, IOC Road, Ahmedabad - 382424",079-23291275,police,Ahmedabad,23.027664,72.565265,23.0215374,72.5800568,city
Danilimda PS,"Near Babunagar, Danilimda Cross Road, Ahmedabad - 382405",079-25320153,police,Ahmedabad,23.03049,72.591937,23.0215374,72.5800568,city
Dariyapur PS,"Prem Darwaja Char Rasta, Dariyapur, Ahmedabad - 380001",079-22161913,police,Ahmedabad,23.013051,72.584418,23.0215374,72.5800568,city
Ellisbridge PS,"Ashram Road, Opposite M J Library, Ellisbridge, Ahmedabad - 380006",079-26578202,police,Ahmedabad,23.030694,72.583371,23.0215374,72.5800568,city
Gayakvad Haveli PS,"Gayakvad Haveli, Jamalpur, Raikhad, Ahmedabad - 380001",079-25392647,police,Ahmedabad,23.023768,72.594141,23.0215374,72.5800568,city
Ghatlodiya PS,"Behind Chandni Apartment, Sola Road, Ghatlodia, Ahmedabad - 380061",079-27489127,police,Ahmedabad,23.03051,72.58185,23.0215374,72.5800568,city
Gomtipur PS,"Near Shital Cinema, Patel Mill Compound, Gomtipur, Ahmedabad - 380021",079-22741921,police,Ahmedabad,23.008132,72.574004,23.0215374,72.5800568,city
Gujarat University PS,"Ground Floor PRL Qrts, LD Engg College Lane, Navrangpura, Ahmedabad - 380009",079-26305478,police,Ahmedabad,23.015739,72.594408,23.0215374,72.5800568,city
